file_name,module,category,size_bytes,selected_sheet_export,automation_asset
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Privacy_Addendum_Multimodal_v1.0_RU.docx,05_Clinical,docx,37435,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Submission_Cover_Letter_v1.0_EN.docx,05_Clinical,docx,37172,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Ethics_Submission_Cover_Letter_v1.0_RU.docx,05_Clinical,docx,37471,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_GoldenDataset_Study_Synopsis_v1.0_EN.docx,05_Clinical,docx,37442,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_GoldenDataset_Study_Synopsis_v1.0_RU.docx,05_Clinical,docx,37880,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Onsite_SOP_GoldenDataset_v1.0_EN.docx,05_Clinical,docx,37156,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Onsite_SOP_GoldenDataset_v1.0_RU.docx,05_Clinical,docx,37490,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Participant_Risk_Assessment_Summary_v1.0_EN.docx,05_Clinical,docx,37050,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Participant_Risk_Assessment_Summary_v1.0_RU.docx,05_Clinical,docx,37304,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_PIS_ICF_GoldenDataset_v1.0_EN.docx,05_Clinical,docx,37585,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_PIS_ICF_GoldenDataset_v1.0_RU.docx,05_Clinical,docx,38050,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Recruitment_Flyer_GoldenDataset_v1.0_EN.docx,05_Clinical,docx,36900,no,no
Submission_Build_v4.2/05_Clinical/Uroflow_Recruitment_Flyer_GoldenDataset_v1.0_RU.docx,05_Clinical,docx,37059,no,no
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_OnDevice_Privacy_Guardrails_Test_Cases_v1.0.xlsx,08_Privacy_and_Security,xlsx,7600,yes,no
